model,accuracy,roc_auc,f1_score,precision,recall,inference_time_ms,true_negatives,false_positives,false_negatives,true_positives,specificity,training_time_seconds
LogisticRegression,0.9230974499241148,0.967585183487132,0.9473122013635051,0.983227567560847,0.9230974499241148,3.6618300754620475e-05,54358,4509,102,990,0.9234036047361001,0.43093037605285645
CatBoost,0.9411931486515785,0.9645598157540333,0.9574444471252956,0.9808754045979061,0.9411931486515785,0.0002437031617601455,55603,3264,262,830,0.9445529753512154,9.54251217842102
GradientBoosting,0.9479144081789223,0.9609147173572063,0.9607822786841399,0.9784109606451563,0.9479144081789223,0.0024189471315734373,56150,2717,406,686,0.9538451084648445,206.99083137512207
LightGBM,0.9476975933554596,0.9581349986755392,0.9603937544537609,0.9773972881424425,0.9476975933554596,0.001994188362444399,56186,2681,455,637,0.9544566565308237,3.310499668121338
XGBoost,0.9399256158374889,0.9577007531910109,0.9561627663358668,0.9784043594051537,0.9399256158374889,0.0006660681620701718,55646,3221,381,711,0.9452834355411351,4.091450929641724
RandomForest,0.9239813872813089,0.9553428972033622,0.9473739323799781,0.9805083704723794,0.9239813872813089,0.004058086294932152,54548,4319,239,853,0.9266312195287683,29.869328260421753
SVM,0.33931519871912474,0.3609668215262181,0.4925811139618145,0.9505358209575853,0.33931519871912474,0.08085631757985062,19912,38955,659,433,0.33825403027162926,373.56920099258423
