model,run_id,accuracy,roc_auc,f1_score,precision,recall,training_time_seconds,inference_time_ms,true_negatives,false_positives,false_negatives,true_positives
XGBoost,6511ca95ec0b4fbeb7a1599f7483fa17,0.9424,0.9594734172547084,0.9579344320291043,0.9791628869981707,0.9424,22.448627948760986,5.705914497375488,41894,2315,277,514
RandomForest,3566404226c84e62a9d0f134e192e686,0.9316888888888889,0.956347305476552,0.952088436491977,0.9807165281429827,0.9316888888888889,21.214378595352173,57.890751361846924,41334,2875,199,592
