iter	Logloss
0	0.5175556381
1	0.3774034104
2	0.3187804964
3	0.2625672508
4	0.2302692511
5	0.2122107825
6	0.198406792
7	0.187957493
8	0.1786983625
9	0.1724710705
10	0.1672891007
11	0.1624904134
12	0.159697884
13	0.1572121102
14	0.1542300871
15	0.1512110415
16	0.1497625406
17	0.1481337888
18	0.1460254673
19	0.1449213667
20	0.1434986981
21	0.1420344641
22	0.1407362612
23	0.1380865404
24	0.1359352766
25	0.1349200062
26	0.1344324057
27	0.1336355747
28	0.1329288641
29	0.1324718958
30	0.1320588319
31	0.1317493244
32	0.1310331716
33	0.1305932983
34	0.129229265
35	0.1289893015
36	0.1275942776
37	0.126580353
38	0.1263413379
39	0.1259981383
40	0.1256581823
41	0.1254187569
42	0.1245534529
43	0.1241101532
44	0.1237064978
45	0.1227642813
46	0.1224105058
47	0.1221712483
48	0.1219442558
49	0.1212398277
50	0.1210929827
51	0.1205483109
52	0.120417997
53	0.11996276
54	0.1197762022
55	0.1195276909
56	0.1192224806
57	0.1190248337
58	0.1188571519
59	0.1186367658
60	0.1176925127
61	0.1174704349
62	0.1171426874
63	0.1165889585
64	0.1163880685
65	0.1154300075
66	0.1152691395
67	0.114866473
68	0.1141734395
69	0.1136636095
70	0.1135055707
71	0.1126515042
72	0.1122313988
73	0.1121104871
74	0.1119558282
75	0.1117877798
76	0.1112358674
77	0.1107225084
78	0.1105222518
79	0.1103537224
80	0.1101618138
81	0.1094317896
82	0.1086196487
83	0.1083333172
84	0.1081804777
85	0.1080130321
86	0.1077021585
87	0.1073482765
88	0.1071610512
89	0.1070327899
90	0.106635689
91	0.106169116
92	0.1060147264
93	0.1054963133
94	0.1053762744
95	0.10511114
96	0.1047328236
97	0.1046222024
98	0.1044752211
99	0.1035548114
100	0.1034312023
101	0.1031425768
102	0.1030395968
103	0.1029004844
104	0.1028093774
105	0.1022542987
106	0.1021052976
107	0.1017012547
108	0.1015836855
109	0.1015075647
110	0.101411295
111	0.1013150667
112	0.1007562722
113	0.1006626286
114	0.1005677749
115	0.100281476
116	0.1001297372
117	0.09966725928
118	0.09942752936
119	0.09919551017
120	0.09906859379
121	0.09896399698
122	0.09870477935
123	0.09845075633
124	0.09825401817
125	0.09809954374
126	0.09771757174
127	0.09744372684
128	0.09722017026
129	0.09706763318
130	0.09695559898
131	0.09661690634
132	0.09634897977
133	0.09600134756
134	0.09553833973
135	0.09518179449
136	0.09459996516
137	0.0944973666
138	0.09427146755
139	0.09387466538
140	0.093569811
141	0.09335262171
142	0.09323593946
143	0.09269239455
144	0.09210339707
145	0.09158088452
146	0.09082870495
147	0.09069592468
148	0.0905838623
149	0.09040656634
150	0.09010875355
151	0.08996566555
152	0.08969229393
153	0.08961464408
154	0.08942318484
155	0.08918177128
156	0.0890588325
157	0.08895106804
158	0.08855618293
159	0.08834173901
160	0.08806268111
161	0.08788187655
162	0.08776302495
163	0.08734935764
164	0.087241792
165	0.08711314789
166	0.08702577998
167	0.08695295458
168	0.08681744178
169	0.0867419246
170	0.08647221182
171	0.08633463347
172	0.08588680951
173	0.0857972712
174	0.08539121386
175	0.08530289543
176	0.08518547531
177	0.08501129948
178	0.08493731716
179	0.084831317
180	0.08476788655
181	0.08453572983
182	0.08446202953
183	0.08437846686
184	0.0842251898
185	0.0840306274
186	0.08397038903
187	0.08385239169
188	0.08363523034
189	0.08333527136
190	0.08325241897
191	0.08298350592
192	0.08291112208
193	0.08282468054
194	0.08254444784
195	0.08243963208
196	0.0823441475
197	0.082280058
198	0.08190133675
199	0.08170384513
